antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'spinach'}),frozenset({'parmesan cheese'}),0.052310848,0.316640521,0.029262701,0.559400231,1.766672908,0.012698966,1.550975571,0.457918362
frozenset({'pepper'}),frozenset({'salt'}),0.124894413,0.350971401,0.092795945,0.742995169,2.116967841,0.048961578,2.525355639,0.602928693
frozenset({'purpose flour'}),frozenset({'salt'}),0.076264028,0.350971401,0.044346567,0.581487342,1.656794087,0.017580074,1.550798014,0.429153681
frozenset({'white sugar'}),frozenset({'salt'}),0.029926391,0.350971401,0.015083866,0.504032258,1.436106351,0.004580559,1.308610509,0.313040925
frozenset({'yeast'}),frozenset({'salt'}),0.016350911,0.350971401,0.013635815,0.833948339,2.376114798,0.007897113,3.908594452,0.588771869
frozenset({'vanilla'}),frozenset({'sugar'}),0.013454809,0.124411729,0.011162061,0.829596413,6.668152736,0.009488125,5.138320642,0.861626448
frozenset({'vanilla extract'}),frozenset({'sugar'}),0.027874985,0.124411729,0.014721854,0.528138528,4.245086307,0.011253878,1.8556045,0.78635311
frozenset({'tomato paste'}),frozenset({'tomato'}),0.067213708,0.208519368,0.036080608,0.536804309,2.574361867,0.022065248,1.708739195,0.655620936
frozenset({'yeast'}),frozenset({'water'}),0.016350911,0.150657657,0.014359841,0.878228782,5.829300696,0.011896451,6.974902275,0.842223966
"frozenset({'butter', 'baking powder'})",frozenset({'egg'}),0.015385544,0.186979607,0.014058163,0.91372549,4.886765497,0.01118138,9.423645469,0.807794017
"frozenset({'egg', 'baking powder'})",frozenset({'butter'}),0.025883915,0.210208761,0.014058163,0.543123543,2.5837341,0.008617138,1.728675723,0.629250741
"frozenset({'purpose flour', 'baking powder'})",frozenset({'egg'}),0.017436949,0.186979607,0.015626885,0.896193772,4.793002766,0.012366532,7.832096456,0.805406354
"frozenset({'egg', 'baking powder'})",frozenset({'purpose flour'}),0.025883915,0.076264028,0.015626885,0.603729604,7.916308902,0.013652874,2.331074894,0.89689362
frozenset({'baking powder'}),"frozenset({'purpose flour', 'egg'})",0.029564378,0.039097381,0.015626885,0.528571429,13.51935626,0.014470996,2.038278282,0.954243599
"frozenset({'salt', 'baking powder'})",frozenset({'egg'}),0.016773259,0.186979607,0.014601183,0.870503597,4.65560717,0.011464925,6.278324149,0.798600377
